nome;valence;acousticness;danceability;energy;instrumentalness;liveness;speechiness;uri;image;url;album
Anti-Hero;0.533;0.13;0.637;0.643;1.8e-06;0.142;0.0519;spotify:track:0V3wPSX9ygBnCm8psDIegu;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu;Midnights
Lavender Haze;0.0976;0.258;0.733;0.436;0.000573;0.157;0.08;spotify:track:5jQI2r1RdgtuT8S3iG8zFC;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC;Midnights
Unholy (feat. Kim Petras);0.238;0.013;0.714;0.472;4.51e-06;0.266;0.0864;spotify:track:3nqQXoyQOWXiESFLlDF1hG;https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4;https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG;Unholy (feat. Kim Petras)
Midnight Rain;0.23;0.69;0.643;0.363;5.17e-05;0.115;0.0767;spotify:track:3rWDp9tBPQR9z6U5YyRSK4;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4;Midnights
Snow On The Beach (feat. Lana Del Rey);0.193;0.69;0.663;0.319;0.000993;0.117;0.0375;spotify:track:1wtOxkiel43cVs0Yux5Q4h;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/1wtOxkiel43cVs0Yux5Q4h;Midnights
Maroon;0.0374;0.0573;0.637;0.398;1.03e-06;0.101;0.0564;spotify:track:3eX0NZfLtGzoLUxPNvRfqm;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/3eX0NZfLtGzoLUxPNvRfqm;Midnights
You're On Your Own, Kid;0.38;0.401;0.696;0.396;5.2e-06;0.125;0.0656;spotify:track:4D7BCuvgdJlYvlX5WlN54t;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/4D7BCuvgdJlYvlX5WlN54t;Midnights
Karma;0.0969;0.0734;0.642;0.62;0.0;0.483;0.0666;spotify:track:7KokYm8cMIXCsGVmUvKtqf;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf;Midnights
Bejeweled;0.433;0.0618;0.696;0.559;5.58e-05;0.0887;0.0693;spotify:track:3qoftcUZaUOncvIYjFSPdE;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/3qoftcUZaUOncvIYjFSPdE;Midnights
Vigilante Shit;0.163;0.173;0.798;0.277;5.25e-05;0.121;0.39;spotify:track:1xwAWUI6Dj0WGC3KiUPN0O;https://i.scdn.co/image/ab67616d0000b27394e71ca5acea8203c4aa120c;https://open.spotify.com/track/1xwAWUI6Dj0WGC3KiUPN0O;Midnights
